,job_title,job_company,job_details,location,experience,salary,min_salary,max_salary,min_experience
140,system analyst ,JMC IT Consultant,"['Yogyakarta', 'IDR\xa03.000.000 - 4.000.000', '1 – 3 tahun']",Yogyakarta,1 – 3 tahun,"['IDR', '3.000.000', '-', '4.000.000']",3000000,4000000,1
141,data engineer,PT. Koltiva,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
142,sales operation analyst,Lifepal,"['Mampang Prapatan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
143,data engineer,Ics Compute,"['Kuningan, Jakarta', 'IDR\xa010.000.000 - 22.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '10.000.000', '-', '22.000.000']",10000000,22000000,1
144,data analyst,PT Bangun Inovasi Teknologi,"['Denpasar', '1 – 3 tahun']",Denpasar,1 – 3 tahun,[],0,0,1
145,data analytic,Pt Simplefi Teknologi Indonesia,"['Kuningan, Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
146,data engineer,Pt Eigerindo Multi Produk Industri,"['Bandung', '1 – 3 tahun']",Bandung,1 – 3 tahun,[],0,0,1
147,business analyst,Id/x Partners,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
148,system analyst ,PT. Asian Sigma Technology,"['Tanah Abang, Jakarta', 'IDR\xa08.000.000 - 17.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '8.000.000', '-', '17.000.000']",8000000,17000000,3
149,data validation support part-time (remote),Kulina,"['Yogyakarta', '']",Yogyakarta,,[],0,0,0
150,sales analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
151,data scientist,Bithealth,"['Grogol Petamburan, Jakarta', 'IDR\xa07.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '7.000.000', '-', '10.000.000']",7000000,10000000,1
152,administrasi head office,Pt Bernofarm,"['Tangerang', '1 – 3 tahun']",Tangerang,1 – 3 tahun,[],0,0,1
153,research analyst,Pt. Paramitra Alfa Sekuritas,"['Setiabudi, Jakarta', 'IDR\xa07.000.000 - 15.000.000', '3 – 5 tahun']",Jakarta,3 – 5 tahun,"['IDR', '7.000.000', '-', '15.000.000']",7000000,15000000,3
154,business analyst,KB Insurance Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
155,system analyst ,PT Gamatechno Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
